iter	Passed	Remaining
0	203	203269
1	247	123350
2	605	201267
3	683	170114
4	739	147064
5	1114	184604
6	1493	211836
7	1867	231545
8	1896	208816
9	2257	223468
10	2287	205647
11	2643	217654
12	2997	227588
13	3045	214506
14	3417	224440
15	3790	233111
16	3913	226316
17	4281	233566
18	4339	224075
19	4689	229801
20	5049	235419
21	5434	241607
22	5494	233407
23	5852	237996
24	6232	243076
25	6265	234701
26	6625	238754
27	6988	242592
28	7366	246634
29	7733	250041
30	8105	253374
31	8465	256087
32	8493	248876
33	8850	251453
34	8879	244822
35	9261	248003
36	9344	243206
37	9425	238625
38	9779	240986
39	10158	243794
40	10524	246159
41	10875	248055
42	11262	250657
43	11632	252747
44	11993	254527
45	12369	256530
46	12745	258433
47	12956	256971
48	13327	258653
49	13698	260262
50	14085	262098
51	14131	257625
52	14503	259152
53	14876	260609
54	15252	262071
55	15629	263476
56	16006	264801
57	16380	266049
58	16759	267305
59	16805	263290
60	17176	264399
61	17550	265528
62	17633	262267
63	17711	259025
64	18086	260162
65	18453	261143
66	18825	262145
67	19195	263085
68	19567	264025
69	19939	264917
70	20154	263717
71	20527	264581
72	20904	265461
73	21275	266225
74	21315	262887
75	21689	263701
76	22060	264439
77	22142	261739
78	22517	262509
79	22891	263255
80	23268	263999
81	23640	264657
82	23669	261504
83	24041	262162
84	24415	262825
85	24790	263466
86	25162	264064
87	25535	264640
88	25909	265206
89	26287	265797
90	26664	266356
91	27035	266829
92	27413	267352
93	27788	267832
94	28169	268348
95	28543	268784
96	28918	269206
97	29296	269650
98	29677	270093
99	30050	270457
100	30175	268592
101	30544	268910
102	30924	269311
103	31299	269656
104	31671	269959
105	32051	270323
106	32429	270648
107	32807	270967
108	33185	271270
109	33310	269515
110	33686	269791
111	34061	270055
112	34435	270303
113	34807	270522
114	34867	268326
115	34900	265968
116	35273	266208
117	35354	264258
118	35738	264587
119	36119	264874
120	36164	262718
121	36533	262923
122	36908	263158
123	37033	261623
124	37115	259805
125	37489	260044
126	37863	260273
127	37903	258219
128	38279	258463
129	38655	258694
130	39027	258889
131	39398	259075
132	39768	259240
133	40135	259384
134	40512	259581
135	40879	259703
136	41256	259886
137	41631	260046
138	42009	260216
139	42386	260374
140	42754	260471
141	42801	258617
142	43171	258727
143	43217	256901
144	43586	257009
145	43962	257148
146	44336	257270
147	44711	257394
148	45087	257515
149	45467	257648
150	45844	257759
151	46221	257867
152	46600	257976
153	46632	256177
154	47006	256258
155	47383	256355
156	47763	256461
157	48140	256547
158	48518	256629
159	48575	255021
160	48949	255083
161	49326	255156
162	49373	253529
163	49406	251850
164	49777	251905
165	50151	251967
166	50530	252048
167	50564	250412
168	50934	250451
169	51308	250505
170	51680	250543
171	52054	250589
172	52428	250628
173	52556	249490
174	52930	249528
175	53314	249606
176	53685	249621
177	53897	248896
178	54273	248931
179	54650	248964
180	55029	249001
181	55110	247692
182	55139	246169
183	55181	244718
184	55216	243251
185	55586	243265
186	55955	243272
187	56331	243303
188	56706	243329
189	57081	243347
190	57453	243351
191	57824	243345
192	57882	242027
193	58256	242036
194	58637	242065
195	58676	240692
196	58881	240007
197	59253	240007
198	59622	239989
199	59995	239983
200	60367	239967
201	60741	239959
202	61121	239968
203	61503	239982
204	61879	239972
205	62252	239945
206	62628	239923
207	63007	239914
208	63215	239251
209	63424	238595
210	63796	238557
211	64167	238508
212	64541	238469
213	64914	238423
214	65286	238372
215	65668	238354
216	65725	237158
217	66094	237090
218	66473	237057
219	66842	236988
220	67218	236937
221	67592	236878
222	67673	235794
223	67751	234710
224	68129	234668
225	68505	234616
226	68883	234568
227	69248	234471
228	69445	233810
229	69801	233683
230	69844	232512
231	70218	232448
232	70257	231276
233	70642	231247
234	71010	231160
235	71375	231062
236	71733	230939
237	72089	230808
238	72293	230190
239	72662	230099
240	72743	229096
241	72867	228237
242	73233	228138
243	73587	227999
244	73936	227844
245	74312	227770
246	74346	226650
247	74404	225614
248	74784	225553
249	75143	225430
250	75503	225306
251	75857	225164
252	76056	224562
253	76264	223990
254	76631	223883
255	77004	223794
256	77372	223687
257	77730	223549
258	78087	223408
259	78467	223329
260	78524	222334
261	78897	222237
262	79254	222093
263	79607	221934
264	79963	221785
265	80339	221687
266	80707	221566
267	81075	221444
268	81444	221323
269	81797	221155
270	82164	221024
271	82539	220915
272	82900	220764
273	83277	220654
274	83650	220533
275	84006	220364
276	84375	220228
277	84744	220092
278	85104	219929
279	85477	219799
280	85832	219621
281	85910	218736
282	86279	218595
283	86655	218469
284	86693	217495
285	87051	217324
286	87428	217200
287	87798	217057
288	87832	216086
289	88203	215945
290	88567	215789
291	88928	215621
292	88964	214669
293	89341	214542
294	89373	213586
295	89420	212675
296	89775	212499
297	90136	212335
298	90505	212187
299	90703	211642
300	91066	211479
301	91430	211318
302	91799	211169
303	92164	211008
304	92524	210835
305	92558	209920
306	92589	209003
307	92715	208307
308	93074	208136
309	93446	207994
310	93813	207838
311	94185	207691
312	94223	206809
313	94583	206638
314	94955	206490
315	95329	206346
316	95692	206175
317	96069	206035
318	96194	205356
319	96559	205188
320	96931	205035
321	97291	204856
322	97512	204384
323	97872	204202
324	98257	204073
325	98625	203906
326	98993	203739
327	99355	203558
328	99735	203411
329	100096	203226
330	100458	203041
331	100830	202875
332	101202	202708
333	101566	202525
334	101940	202358
335	102306	202176
336	102677	202003
337	103039	201810
338	103075	200981
339	103446	200807
340	103817	200632
341	104188	200457
342	104388	199951
343	104756	199767
344	105132	199599
345	105497	199408
346	105867	199225
347	106228	199026
348	106595	198836
349	106959	198639
350	107328	198450
351	107375	197668
352	107737	197468
353	108121	197306
354	108169	196533
355	108202	195737
356	108321	195100
357	108681	194898
358	109049	194710
359	109174	194088
360	109531	193880
361	109911	193711
362	110296	193550
363	110380	192863
364	110443	192141
365	110477	191373
366	110513	190612
367	110900	190460
368	110930	189694
369	111324	189552
370	111700	189379
371	112090	189227
372	112473	189064
373	112505	188311
374	112639	187732
375	113020	187566
376	113415	187421
377	113796	187252
378	114201	187121
379	114580	186946
380	114974	186795
381	115357	186625
382	115745	186461
383	116136	186302
384	116178	185584
385	116556	185402
386	116945	185238
387	117326	185061
388	117711	184888
389	118106	184730
390	118488	184550
391	118876	184380
392	118910	183660
393	119295	183485
394	119681	183309
395	120066	183131
396	120453	182956
397	120843	182784
398	121227	182600
399	121611	182416
400	121641	181704
401	122034	181533
402	122420	181352
403	122802	181164
404	123198	180995
405	123577	180800
406	123608	180097
407	124003	179926
408	124214	179488
409	124588	179286
410	124981	179109
411	125201	178685
412	125574	178480
413	125965	178298
414	126001	177616
415	126382	177422
416	126421	176747
417	126814	176569
418	127202	176383
419	127583	176186
420	127973	176000
421	128184	175569
422	128565	175371
423	128955	175185
424	129087	174648
425	129479	174463
426	129892	174305
427	129924	173637
428	130315	173449
429	130349	172789
430	130745	172608
431	130777	171947
432	130811	171293
433	131202	171107
434	131285	170520
435	131675	170331
436	132062	170140
437	132447	169944
438	132840	169757
439	132881	169121
440	133268	168928
441	133654	168730
442	134042	168536
443	134126	167960
444	134516	167767
445	134906	167574
446	134954	166957
447	135170	166549
448	135559	166354
449	135945	166156
450	136340	165966
451	136729	165769
452	137123	165577
453	137514	165380
454	137903	165180
455	138293	164982
456	138683	164781
457	139070	164576
458	139455	164369
459	139516	163779
460	139902	163574
461	139932	162951
462	140323	162750
463	140362	162142
464	140747	161934
465	141141	161737
466	141526	161527
467	141916	161323
468	142312	161125
469	142703	160921
470	143103	160725
471	143484	160507
472	143872	160297
473	144258	160083
474	144638	159863
475	145029	159654
476	145416	159440
477	145806	159227
478	146193	159012
479	146582	158797
480	146970	158580
481	147360	158367
482	147745	158145
483	148136	157930
484	148352	157528
485	148739	157309
486	149129	157091
487	149519	156873
488	149908	156652
489	150295	156430
490	150425	155940
491	150808	155713
492	151196	155490
493	151588	155270
494	151982	155052
495	152367	154825
496	152752	154596
497	153144	154375
498	153174	153788
499	153561	153561
500	153607	152994
501	154018	152791
502	154414	152572
503	154800	152343
504	155192	152119
505	155584	151895
506	155967	151661
507	156001	151087
508	156385	150855
509	156433	150298
510	156834	150082
511	157221	149851
512	157608	149620
513	157668	149079
514	158065	148857
515	158454	148628
516	158840	148394
517	159227	148161
518	159617	147930
519	160010	147702
520	160040	147138
521	160072	146579
522	160463	146350
523	160848	146114
524	161238	145882
525	161630	145651
526	162018	145417
527	162405	145180
528	162795	144946
529	163187	144713
530	163579	144479
531	163968	144242
532	164365	144012
533	164752	143772
534	165144	143536
535	165535	143299
536	165931	143065
537	166320	142825
538	166711	142586
539	167105	142348
540	167497	142109
541	167878	141860
542	168267	141617
543	168656	141373
544	169045	141129
545	169434	140885
546	169824	140640
547	170214	140395
548	170605	140151
549	170997	139907
550	171387	139660
551	171777	139413
552	172161	139161
553	172557	138918
554	172948	138670
555	173339	138422
556	173726	138170
557	174114	137919
558	174505	137668
559	174895	137417
560	175283	137165
561	175675	136914
562	176065	136662
563	176457	136410
564	176843	136154
565	177236	135901
566	177625	135647
567	178014	135391
568	178405	135136
569	178791	134878
570	179179	134619
571	179570	134363
572	179961	134107
